timestamp,query_preview,task,domain,complexity,word_count,model_id,model_name,energy_kwh,carbon_kg,water_liters,latency_seconds,page_url
2026-03-13T08:32:06.397635,"Flowers, also known as blossoms and blooms, are the reproductive structures of flowering plants. Typ",summarize,general,MEDIUM,80,medium_model,Medium LLM,0.003,0.0012,0.0045,1.13,https://en.wikipedia.org/wiki/Flower
2026-03-13T08:31:46.885148,"These include: sepals, which are modified leaves that support the flower; petals, often designed to ",ask,general,MEDIUM,52,medium_model,Medium LLM,0.003,0.0012,0.0045,1.19,https://en.wikipedia.org/wiki/Flower
2026-03-13T08:31:25.866212,"These include: sepals, which are modified leaves that support the flower; petals, often designed to ",explain,general,MEDIUM,52,medium_model,Medium LLM,0.003,0.0012,0.0045,1.2,https://en.wikipedia.org/wiki/Flower
2026-03-13T07:58:35.763485,"Flowers, also known as blossoms and blooms, are the reproductive structures of flowering plants. Typ",ask,general,MEDIUM,28,medium_model,Medium LLM,0.003,0.0012,0.0045,0.97,https://en.wikipedia.org/wiki/Flower
2026-03-13T07:53:51.085029,Quantum entanglement connects two particles regardless of distance.,summarize,science,HIGH,8,large_model,Large LLM,0.01,0.004,0.015,2.06,
2026-03-13T09:01:04.438769,"Flowers, also known as blossoms and blooms, are the reproduc",ask,general,MEDIUM,80,medium_model,Medium LLM,0.003,0.0012,0.0045,0.81,https://en.wikipedia.org/wiki/Flower
2026-03-13T09:01:30.838716,"Flowers, also known as blossoms and blooms, are the reproduc",explain,general,MEDIUM,80,medium_model,Medium LLM,0.003,0.0012,0.0045,1.08,https://en.wikipedia.org/wiki/Flower
2026-03-13T09:01:42.877491,"Flowers, also known as blossoms and blooms, are the reproduc",summarize,general,MEDIUM,80,medium_model,Medium LLM,0.003,0.0012,0.0045,0.9,https://en.wikipedia.org/wiki/Flower
2026-03-13T09:02:03.199139,"Flowers, also known as blossoms and blooms, are the reproduc",simplify,general,MEDIUM,80,medium_model,Medium LLM,0.003,0.0012,0.0045,1.0,https://en.wikipedia.org/wiki/Flower
2026-03-13T09:57:31.945973,Sepals are usually green.[11] The term tepal is usually appl,summarize,general,MEDIUM,61,medium_model,Medium LLM,0.003,0.0012,0.0045,0.57,https://en.wikipedia.org/wiki/Sepal
2026-03-13T10:01:23.383662,Sepals are usually green.[11] The term tepal is usually appl,summarize,general,MEDIUM,61,medium_model,Medium LLM,0.003,0.0012,0.0045,0.57,https://en.wikipedia.org/wiki/Sepal
2026-03-13T10:03:00.156652,Sepals are usually green.[11] The term tepal is usually appl,summarize,general,MEDIUM,61,medium_model,Medium LLM,0.003,0.0012,0.0045,0.37,https://en.wikipedia.org/wiki/Sepal
2026-03-13T10:04:56.507154,"Collectively, the sepals are called the calyx (plural: calyc",summarize,general,MEDIUM,71,medium_model,Medium LLM,0.003,0.0012,0.0045,0.63,https://en.wikipedia.org/wiki/Sepal
2026-03-13T10:05:21.226407,Sepals are usually green.[11] The term tepal is usually appl,summarize,history,HIGH,235,large_model,Large LLM,0.01,0.004,0.015,0.8,https://en.wikipedia.org/wiki/Sepal
2026-03-13T10:05:42.743867,The development and form of the sepals vary considerably amo,summarize,general,MEDIUM,21,medium_model,Medium LLM,0.003,0.0012,0.0045,0.25,https://en.wikipedia.org/wiki/Sepal
2026-03-13T10:05:58.078572,Sepals are usually green.[11] The term tepal is usually appl,summarize,general,HIGH,102,large_model,Large LLM,0.01,0.004,0.015,0.53,https://en.wikipedia.org/wiki/Sepal
2026-03-13T10:06:22.649602,Sepals are usually green.[11] The term tepal is usually appl,ask,general,HIGH,102,large_model,Large LLM,0.01,0.004,0.015,1.09,https://en.wikipedia.org/wiki/Sepal
2026-03-13T10:06:43.270786,Sepals are usually green.[11] The term tepal is usually appl,ask,general,HIGH,102,large_model,Large LLM,0.01,0.004,0.015,0.6,https://en.wikipedia.org/wiki/Sepal
2026-03-13T10:06:55.926670,Sepals are usually green.[11] The term tepal is usually appl,simplify,general,HIGH,102,large_model,Large LLM,0.01,0.004,0.015,1.14,https://en.wikipedia.org/wiki/Sepal
2026-03-13T10:07:06.132155,Sepals are usually green.[11] The term tepal is usually appl,explain,general,HIGH,102,large_model,Large LLM,0.01,0.004,0.015,1.91,https://en.wikipedia.org/wiki/Sepal
2026-03-13T10:07:25.373697,The term sepalum was coined by Noël Martin Joseph de Necker ,ask,history,MEDIUM,93,medium_model,Medium LLM,0.003,0.0012,0.0045,0.62,https://en.wikipedia.org/wiki/Sepal
2026-03-13T10:08:52.208309,"print(""Hello, World!"")",summarize,general,MEDIUM,2,medium_model,Medium LLM,0.003,0.0012,0.0045,0.21,https://www.google.com/search?q=python+code+example&sca_esv=288d0459570a6d4e&rlz=1C1RXQR_enIN1109IN1109&sxsrf=ANbL-n4_TomM0R0XtPWIk-DAMeq3fCQeKA%3A1773396508729&ei=HOKzaeaTLMKq0-kPmsPrsQE&biw=1536&bih=730&ved=0ahUKEwjmkcvn0JyTAxVC1TQHHZrhOhYQ4dUDCBE&uact=5&oq=python+code+example&gs_lp=Egxnd3Mtd2l6LXNlcnAaAhgCIhNweXRob24gY29kZSBleGFtcGxlMg4QABiABBiRAhixAxiKBTILEAAYgAQYkQIYigUyBRAAGIAEMgsQABiABBiRAhiKBTILEAAYgAQYkQIYigUyBRAAGIAEMgUQABiABDIFEAAYgAQyBRAAGIAEMgUQABiABEiRKFCxAli-JnACeAGQAQKYAYkCoAHYHKoBBjAuMjAuMrgBA8gBAPgBAZgCFqACzRyoAhHCAgcQIxiwAxgnwgIKEAAYsAMY1gQYR8ICDRAAGIAEGLADGEMYigXCAg4QABiwAxjkAhjWBNgBAcICGRAuGIAEGLADGNEDGEMYxwEYyAMYigXYAQHCAhMQLhiABBiwAxhDGMgDGIoF2AEBwgIKECMYgAQYJxiKBcICCxAAGIAEGJIDGIoFwgIIEAAYgAQYsQPCAhMQLhiABBixAxjRAxhDGMcBGIoFwgIOEC4YgAQYxwEYjgUYrwHCAgcQIxgnGOoCwgIKECMYJxjqAhiLA8ICFhAAGIAEGEMYtAIY5wYYigUY6gLYAQHCAh8QLhiABBjRAxhDGLQCGOcGGMcBGMgDGIoFGOoC2AEBwgIZEC4YgAQYQxi0AhjnBhjIAxiKBRjqAtgBAcICChAjGPAFGCcYyQLCAgsQABiABBixAxiDAcICFBAuGIAEGLEDGNEDGIMBGMcBGIoFwgIOEAAYgAQYsQMYgwEYigXCAhAQABiABBixAxhDGIMBGIoFwgINEAAYgAQYsQMYQxiKBcICChAAGIAEGEMYigWYAw7xBYTP1UgKqUWAiAYBkAYSugYGCAEQARgJkgcGMi4xOC4yoAeooAGyBwYwLjE4LjK4B5wcwgcIMi01LjE1LjLIB4oCgAgA&sclient=gws-wiz-serp
