timestamp,query_preview,task,complexity,domain,model_id,model_name,energy_kwh,carbon_kg,water_liters,latency_seconds,word_count
2026-03-13T07:53:51.085029,Quantum entanglement connects two particles regardless of di,summarize,HIGH,science,large_model,Large LLM,0.01,0.004,0.015,2.06,8
2026-03-13T07:58:35.763485,"Flowers, also known as blossoms and blooms, are the reproduc",ask,MEDIUM,general,medium_model,Medium LLM,0.003,0.0012,0.0045,0.97,28
2026-03-13T08:31:25.866212,"These include: sepals, which are modified leaves that suppor",explain,MEDIUM,general,medium_model,Medium LLM,0.003,0.0012,0.0045,1.2,52
2026-03-13T08:31:46.885148,"These include: sepals, which are modified leaves that suppor",ask,MEDIUM,general,medium_model,Medium LLM,0.003,0.0012,0.0045,1.19,52
2026-03-13T08:32:06.397635,"Flowers, also known as blossoms and blooms, are the reproduc",summarize,MEDIUM,general,medium_model,Medium LLM,0.003,0.0012,0.0045,1.13,80
2026-03-13T09:01:04.438769,"Flowers, also known as blossoms and blooms, are the reproduc",ask,MEDIUM,general,medium_model,Medium LLM,0.003,0.0012,0.0045,0.81,80
2026-03-13T09:01:30.838716,"Flowers, also known as blossoms and blooms, are the reproduc",explain,MEDIUM,general,medium_model,Medium LLM,0.003,0.0012,0.0045,1.08,80
2026-03-13T09:01:42.877491,"Flowers, also known as blossoms and blooms, are the reproduc",summarize,MEDIUM,general,medium_model,Medium LLM,0.003,0.0012,0.0045,0.9,80
2026-03-13T09:02:03.199139,"Flowers, also known as blossoms and blooms, are the reproduc",simplify,MEDIUM,general,medium_model,Medium LLM,0.003,0.0012,0.0045,1.0,80
2026-03-13T09:57:31.945973,Sepals are usually green.[11] The term tepal is usually appl,summarize,MEDIUM,general,medium_model,Medium LLM,0.003,0.0012,0.0045,0.57,61
2026-03-13T10:01:23.383662,Sepals are usually green.[11] The term tepal is usually appl,summarize,MEDIUM,general,medium_model,Medium LLM,0.003,0.0012,0.0045,0.57,61
2026-03-13T10:03:00.156652,Sepals are usually green.[11] The term tepal is usually appl,summarize,MEDIUM,general,medium_model,Medium LLM,0.003,0.0012,0.0045,0.37,61
2026-03-13T10:04:56.507154,"Collectively, the sepals are called the calyx (plural: calyc",summarize,MEDIUM,general,medium_model,Medium LLM,0.003,0.0012,0.0045,0.63,71
2026-03-13T10:05:21.226407,Sepals are usually green.[11] The term tepal is usually appl,summarize,HIGH,history,large_model,Large LLM,0.01,0.004,0.015,0.8,235
2026-03-13T10:05:42.743867,The development and form of the sepals vary considerably amo,summarize,MEDIUM,general,medium_model,Medium LLM,0.003,0.0012,0.0045,0.25,21
2026-03-13T10:05:58.078572,Sepals are usually green.[11] The term tepal is usually appl,summarize,HIGH,general,large_model,Large LLM,0.01,0.004,0.015,0.53,102
2026-03-13T10:06:22.649602,Sepals are usually green.[11] The term tepal is usually appl,ask,HIGH,general,large_model,Large LLM,0.01,0.004,0.015,1.09,102
2026-03-13T10:06:43.270786,Sepals are usually green.[11] The term tepal is usually appl,ask,HIGH,general,large_model,Large LLM,0.01,0.004,0.015,0.6,102
2026-03-13T10:06:55.926670,Sepals are usually green.[11] The term tepal is usually appl,simplify,HIGH,general,large_model,Large LLM,0.01,0.004,0.015,1.14,102
2026-03-13T10:07:06.132155,Sepals are usually green.[11] The term tepal is usually appl,explain,HIGH,general,large_model,Large LLM,0.01,0.004,0.015,1.91,102
2026-03-13T10:07:25.373697,The term sepalum was coined by Noël Martin Joseph de Necker ,ask,MEDIUM,history,medium_model,Medium LLM,0.003,0.0012,0.0045,0.62,93
2026-03-13T10:08:52.208309,"print(""Hello, World!"")",summarize,MEDIUM,general,medium_model,Medium LLM,0.003,0.0012,0.0045,0.21,2
2026-03-13T10:09:14.694508,"name = ""Riya""
age = 20
print(name, age)",summarize,MEDIUM,general,medium_model,Medium LLM,0.003,0.0012,0.0045,0.24,8
2026-03-13T10:10:35.858579,How 2 +2 is 5?,summarize,MEDIUM,general,medium_model,Medium LLM,0.003,0.0012,0.0045,0.26,5
2026-03-13T10:11:18.024622,How 2 +2 is 5?,ask,MEDIUM,general,medium_model,Medium LLM,0.003,0.0012,0.0045,0.34,5
2026-03-13T10:13:43.327009,"lowers, also known as blossoms and blooms, are the reproduct",summarize,MEDIUM,general,medium_model,Medium LLM,0.003,0.0012,0.0045,0.36,68
2026-03-13T10:25:50.461716,Sepals are usually green.[11] The term tepal is usually appl,summarize,HIGH,general,large_model,Large LLM,0.01,0.004,0.015,0.68,103
2026-03-13T10:57:52.295847,"Flowers, also known as blossoms and blooms, are the reproduc",explain,MEDIUM,general,medium_model,Medium LLM,0.003,0.0012,0.0045,1.25,80
2026-03-13T10:58:03.669306,"Flowers, also known as blossoms and blooms, are the reproduc",simplify,MEDIUM,general,medium_model,Medium LLM,0.003,0.0012,0.0045,0.49,80
2026-03-13T11:03:48.004502,Sepals are usually green.[11] The term tepal is usually appl,ask,HIGH,general,large_model,Large LLM,0.01,0.004,0.015,0.97,102
2026-03-13T11:14:11.127686,2+2,ask,LOW,general,small_model,Small LLM,0.001,0.0004,0.0015,0.56,1
2026-03-13T11:14:37.823903,Sepals are usually green.[11] The term tepal is usually appl,ask,HIGH,general,large_model,Large LLM,0.01,0.004,0.015,0.71,102
2026-03-13T11:16:53.888613,what is ur name,ask,LOW,general,small_model,Small LLM,0.001,0.0004,0.0015,0.23,4
2026-03-13T11:17:14.149865,what is BERT,ask,LOW,general,small_model,Small LLM,0.001,0.0004,0.0015,0.63,3
2026-03-13T11:17:56.804146,build a project on Physhing Detsction of Email,ask,LOW,technology,small_model,Small LLM,0.001,0.0004,0.0015,0.6,8
2026-03-13T11:44:31.207920,"Color #008008 is a deep, rich green shade, often referred to",ask,HIGH,history,large_model,Large LLM,0.01,0.004,0.015,0.96,48
2026-03-13T11:44:42.676222,Hex: #008008,summarize,LOW,general,small_model,Small LLM,0.001,0.0004,0.0015,0.25,2
2026-03-13T11:44:54.362076,Hex: #008008,simplify,LOW,general,small_model,Small LLM,0.001,0.0004,0.0015,0.49,2
2026-03-13T11:45:02.072770,Hex: #008008,explain,LOW,general,small_model,Small LLM,0.001,0.0004,0.0015,0.9,2
2026-03-13T11:54:35.477400,2-2,ask,LOW,general,small_model,Small LLM,0.001,0.0004,0.0015,0.2,1
2026-03-13T12:09:01.271335,"NeuroRoute
Green AI Router — Layer 3 Monitoring",summarize,MEDIUM,technology,medium_model,Medium LLM,0.003,0.0012,0.0045,0.26,8
2026-03-13T12:33:54.691604,what is 2+2,ask,LOW,general,small_model,Small LLM,0.001,0.0004,0.0015,3.42,3
2026-03-13T12:34:19.165283,Sepals are usually green.[11] The term tepal is usually appl,ask,HIGH,general,large_model,Large LLM,0.01,0.004,0.015,1.77,102
2026-03-13T12:34:39.581472,Sepals are usually green.[11] The term tepal is usually appl,ask,HIGH,technology,large_model,Large LLM,0.01,0.004,0.015,1.99,107
2026-03-13T12:39:17.352792,Sepals are usually green.[11] The term tepal is usually appl,ask,MEDIUM,general,medium_model,Medium LLM,0.003,0.0012,0.0045,2.11,39
2026-03-13T12:39:35.766351,Sepals are usually green.[11] The term tepal is usually appl,ask,MEDIUM,general,medium_model,Medium LLM,0.003,0.0012,0.0045,0.71,39
2026-03-13T12:40:50.345433,Sepals are usually green.[11] The term tepal is usually appl,ask,MEDIUM,general,medium_model,Medium LLM,0.003,0.0012,0.0045,2.8,39
2026-03-13T13:32:06.949259,Sepals are usually green.[11] The term tepal is usually appl,ask,MEDIUM,general,medium_model,Medium LLM,0.003,0.0012,0.0045,0.77,39
2026-03-13T13:33:33.776249,Sepals are usually green.[11] The term tepal is usually appl,ask,MEDIUM,general,medium_model,Medium LLM,0.003,0.0012,0.0045,0.57,39
2026-03-13T13:35:38.751901,Sepals are usually green.[11] The term tepal is usually appl,ask,MEDIUM,general,medium_model,Medium LLM,0.003,0.0012,0.0045,1.42,39
2026-03-13T13:47:00.815961,Sepals are usually green.[11] The term tepal is usually appl,ask,MEDIUM,general,medium_model,Medium LLM,0.003,0.0012,0.0045,0.67,39
2026-03-13T13:47:54.064089,Sepals are usually green.[11] The term tepal is usually appl,ask,MEDIUM,general,medium_model,Medium LLM,0.003,0.0012,0.0045,2.33,39
2026-03-13T13:52:31.466120,"Description[edit]
Sepals are usually green.[11] The term tep",ask,MEDIUM,general,medium_model,Medium LLM,0.003,0.0012,0.0045,2.39,40
2026-03-13T13:53:53.772603,"what is the meaning of sepal

Context (selected text only):
",ask,MEDIUM,general,medium_model,Medium LLM,0.003,0.0012,0.0045,1.07,49
2026-03-13T13:54:17.079580,"what is cpu

Context (selected text only):
Sepals are usuall",ask,MEDIUM,general,medium_model,Medium LLM,0.003,0.0012,0.0045,0.49,46
