query_preview,word_count,task,domain,label_complexity
"Flowers, also known as blossoms and blooms, are the reproductive structures of flowering plants. Typ",80,summarize,general,MEDIUM
"These include: sepals, which are modified leaves that support the flower; petals, often designed to ",52,ask,general,MEDIUM
"These include: sepals, which are modified leaves that support the flower; petals, often designed to ",52,explain,general,MEDIUM
"Flowers, also known as blossoms and blooms, are the reproductive structures of flowering plants. Typ",28,ask,general,MEDIUM
Quantum entanglement connects two particles regardless of distance.,8,summarize,science,HIGH
2026-03-13T09:01:04.438769,"Flowers, also known as blossoms and blooms, are the reproduc",80,ask,general,MEDIUM
2026-03-13T09:01:30.838716,"Flowers, also known as blossoms and blooms, are the reproduc",80,explain,general,MEDIUM
2026-03-13T09:01:42.877491,"Flowers, also known as blossoms and blooms, are the reproduc",80,summarize,general,MEDIUM
2026-03-13T09:02:03.199139,"Flowers, also known as blossoms and blooms, are the reproduc",80,simplify,general,MEDIUM
2026-03-13T09:57:31.945973,Sepals are usually green.[11] The term tepal is usually appl,61,summarize,general,MEDIUM
2026-03-13T10:01:23.383662,Sepals are usually green.[11] The term tepal is usually appl,61,summarize,general,MEDIUM
2026-03-13T10:03:00.156652,Sepals are usually green.[11] The term tepal is usually appl,61,summarize,general,MEDIUM
2026-03-13T10:04:56.507154,"Collectively, the sepals are called the calyx (plural: calyc",71,summarize,general,MEDIUM
2026-03-13T10:05:21.226407,Sepals are usually green.[11] The term tepal is usually appl,235,summarize,history,HIGH
2026-03-13T10:05:42.743867,The development and form of the sepals vary considerably amo,21,summarize,general,MEDIUM
2026-03-13T10:05:58.078572,Sepals are usually green.[11] The term tepal is usually appl,102,summarize,general,HIGH
2026-03-13T10:06:22.649602,Sepals are usually green.[11] The term tepal is usually appl,102,ask,general,HIGH
2026-03-13T10:06:43.270786,Sepals are usually green.[11] The term tepal is usually appl,102,ask,general,HIGH
2026-03-13T10:06:55.926670,Sepals are usually green.[11] The term tepal is usually appl,102,simplify,general,HIGH
2026-03-13T10:07:06.132155,Sepals are usually green.[11] The term tepal is usually appl,102,explain,general,HIGH
2026-03-13T10:07:25.373697,The term sepalum was coined by Noël Martin Joseph de Necker ,93,ask,history,MEDIUM
2026-03-13T10:08:52.208309,"print(""Hello, World!"")",2,summarize,general,MEDIUM
2026-03-13T10:09:14.694508,"name = ""Riya""
age = 20
print(name, age)",8,summarize,general,MEDIUM
2026-03-13T10:10:35.858579,How 2 +2 is 5?,5,summarize,general,MEDIUM
2026-03-13T10:11:18.024622,How 2 +2 is 5?,5,ask,general,MEDIUM
2026-03-13T10:13:43.327009,"lowers, also known as blossoms and blooms, are the reproduct",68,summarize,general,MEDIUM
2026-03-13T10:25:50.461716,Sepals are usually green.[11] The term tepal is usually appl,103,summarize,general,HIGH
2026-03-13T10:57:52.295847,"Flowers, also known as blossoms and blooms, are the reproduc",80,explain,general,MEDIUM
2026-03-13T10:58:03.669306,"Flowers, also known as blossoms and blooms, are the reproduc",80,simplify,general,MEDIUM
2026-03-13T11:03:48.004502,Sepals are usually green.[11] The term tepal is usually appl,102,ask,general,HIGH
2026-03-13T11:14:11.127686,2+2,1,ask,general,LOW
2026-03-13T11:14:37.823903,Sepals are usually green.[11] The term tepal is usually appl,102,ask,general,HIGH
2026-03-13T11:16:53.888613,what is ur name,4,ask,general,LOW
2026-03-13T11:17:14.149865,what is BERT,3,ask,general,LOW
2026-03-13T11:17:56.804146,build a project on Physhing Detsction of Email,8,ask,technology,LOW
2026-03-13T11:44:31.207920,"Color #008008 is a deep, rich green shade, often referred to",48,ask,history,HIGH
2026-03-13T11:44:42.676222,Hex: #008008,2,summarize,general,LOW
2026-03-13T11:44:54.362076,Hex: #008008,2,simplify,general,LOW
2026-03-13T11:45:02.072770,Hex: #008008,2,explain,general,LOW
2026-03-13T11:54:35.477400,2-2,1,ask,general,LOW
2026-03-13T12:09:01.271335,"NeuroRoute
Green AI Router — Layer 3 Monitoring",8,summarize,technology,MEDIUM
2026-03-13T12:33:54.691604,what is 2+2,3,ask,general,LOW
2026-03-13T12:34:19.165283,Sepals are usually green.[11] The term tepal is usually appl,102,ask,general,HIGH
2026-03-13T12:34:39.581472,Sepals are usually green.[11] The term tepal is usually appl,107,ask,technology,HIGH
2026-03-13T12:39:17.352792,Sepals are usually green.[11] The term tepal is usually appl,39,ask,general,MEDIUM
2026-03-13T12:39:35.766351,Sepals are usually green.[11] The term tepal is usually appl,39,ask,general,MEDIUM
2026-03-13T12:40:50.345433,Sepals are usually green.[11] The term tepal is usually appl,39,ask,general,MEDIUM
2026-03-13T13:32:06.949259,Sepals are usually green.[11] The term tepal is usually appl,39,ask,general,MEDIUM
2026-03-13T13:33:33.776249,Sepals are usually green.[11] The term tepal is usually appl,39,ask,general,MEDIUM
2026-03-13T13:35:38.751901,Sepals are usually green.[11] The term tepal is usually appl,39,ask,general,MEDIUM
2026-03-13T13:47:00.815961,Sepals are usually green.[11] The term tepal is usually appl,39,ask,general,MEDIUM
2026-03-13T13:47:54.064089,Sepals are usually green.[11] The term tepal is usually appl,39,ask,general,MEDIUM
2026-03-13T13:52:31.466120,"Description[edit]
Sepals are usually green.[11] The term tep",40,ask,general,MEDIUM
2026-03-13T13:53:53.772603,"what is the meaning of sepal

Context (selected text only):
",49,ask,general,MEDIUM
2026-03-13T13:54:17.079580,"what is cpu

Context (selected text only):
Sepals are usuall",46,ask,general,MEDIUM
